,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
51,675,Jack Grealish,26,2187,6,5.192683823,10,9.334136628,50,81,5,0,F M S,Aston Villa,6,5.192683823,17.48746881,6.972043984
52,702,Tammy Abraham,22,1027,6,6.189150684,1,0.721487461,32,9,0,0,F S,Chelsea,6,6.189150684,7.901170408,2.122328226
53,714,Gylfi Sigurdsson,35,2189,6,5.620114156,5,4.763620866,46,43,2,0,F M S,Everton,3,3.336607599,8.377620617,3.660514172
54,2249,James Rodríguez,23,1802,6,3.363537842,4,5.439711567,37,40,4,0,F M S,Everton,6,3.363537842,12.03300487,7.104181377
55,5956,Youri Tielemans,38,3359,6,4.168203927,4,3.312251339,48,49,6,0,M S,Leicester,4,2.645866311,18.97534204,14.94546853
56,7768,Mason Mount,36,2891,6,6.884880336,5,9.847691355,82,87,2,0,F M S,Chelsea,5,6.12371151,21.69607448,12.44314904
57,8026,Raphinha,30,2369,6,6.219142843,9,9.524860587,67,65,3,0,M S,Leeds,6,6.219142843,16.79277784,6.67969186
58,447,Kevin De Bruyne,24,1918,5,9.908439547,11,10.00376265,79,72,1,0,M S,Manchester City,3,7.624932937,21.07913157,10.63644756
59,935,Kurt Zouma,24,2024,5,3.136853445,0,0.081466971,27,4,3,0,D S,Chelsea,5,3.136853445,6.216146336,6.133133308
60,4476,Callum Robinson,28,1580,5,3.203063399,0,1.049963206,31,16,0,0,F M S,West Bromwich Albion,5,3.203063399,5.216540754,1.596335538
61,6048,Lewis Dunk,32,2844,5,2.699257709,0,0.830638369,31,10,5,2,D,Brighton,5,2.699257709,8.265677944,7.870708652
62,6382,Pedro Neto,31,2570,5,5.494995641,6,5.738268098,62,61,4,0,F M S,Wolverhampton Wanderers,5,5.494995641,11.51666168,4.206935253
63,6827,Bobby Reid,33,2394,5,4.269851533,2,1.309700711,34,14,7,0,D F M S,Fulham,5,4.269851533,8.202645359,3.131384481
64,6853,Rúben Neves,35,2591,5,4.715056136,1,2.002833073,65,32,7,0,M S,Wolverhampton Wanderers,2,2.431549618,6.769231724,4.47636037
65,7322,Bukayo Saka,31,2561,5,7.169173587,3,4.511790655,61,38,1,0,D F M S,Arsenal,5,7.169173587,18.29246639,9.18043957
66,7698,Leandro Trossard,34,2601,5,5.412756389,5,5.398416234,58,51,2,0,F M S,Brighton,5,5.412756389,15.99893452,7.631562136
67,87,Joelinton,31,2006,4,5.631002204,2,2.366481453,43,17,3,0,F M S,Newcastle United,3,4.869833367,9.268310605,3.284957649
68,502,Olivier Giroud,17,750,4,5.070415806,0,1.175799128,29,6,1,0,F S,Chelsea,4,5.070415806,5.245491371,1.711337222
69,553,Anthony Martial,22,1494,4,7.405651165,3,2.61980296,42,17,0,1,F M S,Manchester United,4,7.405651165,11.81481302,3.31950533
70,586,John Stones,21,1843,4,2.393953532,0,0.046839521,14,2,0,1,D,Manchester City,4,2.393953532,9.84246397,9.742794871
71,2662,Christian Pulisic,27,1739,4,6.775412478,2,2.761232169,43,25,2,0,F M S,Chelsea,4,6.775412478,14.59385795,7.101119594
72,4105,Raúl Jiménez,10,824,4,2.360909685,0,0.632962503,26,6,0,0,F,Wolverhampton Wanderers,4,2.360909685,3.684076261,1.233211184
73,4381,Mateusz Klich,35,2404,4,2.99995879,5,3.650850466,36,44,6,0,M S,Leeds,2,1.477621123,14.60811685,10.386438
74,5220,Kai Havertz,27,1523,4,6.352183713,3,1.553381915,33,18,2,0,F M S,Chelsea,4,6.352183713,10.38294363,4.81191125
75,5556,Ademola Lookman,34,2765,4,6.251116008,4,5.258407373,69,61,5,0,F M S,Fulham,4,5.489947141,15.3552201,7.334159415
76,5560,Scott McTominay,32,2121,4,1.847744005,1,2.114613287,26,17,3,0,M S,Manchester United,4,1.847744005,10.91229419,7.904809941
